question,option1,option2,option3,option4,answer
Which of the following is possible in a token passing bus network ?,in-service expansion,unlimited number of stations,both (a) and (b),unlimited distance,Option: A
 In networking terminology UTP means,Unshielded Twisted pair,Ubiquitious Teflon port,Uniformly Terminating port,Unshielded T-connector port,Option: A
Simple network management protocol (SNMP) is implemented with a daughter board in,the nodes,the server,the hubs,a separate PC that manages the network,Option: C
The amount of uncertainty in a system of symbol is called,Bandwidth,Entropy,Loss,Quantum,Option: B
Working of the WAN generally involves,telephone lines,micro waves,satellites,All of these,Option: D
 Different computers are connected to a LAN by a cable and,modem,interface card,special wires,telephone lines,Option: B
 Modem is used in data trasmission. When was it involved and in which country ?,"1963, USA","1965, Germany","1950, USA","1950, Japan",Option: C
 Fibre optics have maximum segment,500 m,200 m,100 m,2000 m,Option: D
Twisted pair have maximum segment of,500 m,200 m,100 m,2000 m,Option: C
 Thick coax have maximum segment of,500 m,200 m,100 m,700 m,Option: A
"Method of communication in which transmission takes place in both directions, but only in one direction at a time, is called",simplex,four wire circuit,full duplex,half duplex,Option: D
Unmodulated signal coming from a transmitter is known as,carrier signal,baseband signal,primary singal,None of these,Option: B
Bit stuffing refers to,inserting a '0' in user stream to differentiate it with a lag,inserting a '0' in lag stream to avoid ambiguity,appending a nibble to the lag sequence,appending a nibble to the use data stream,Option: A
" In a broad sense, a railway track is an example of",simplex,half-duplex,full-duplex,All of these,Option: B
"Frequency range at which the land coaxial cables are used, is",106 to 108 Hz,1010 to 1011 Hz,103 to 104 Hz,None of these,Option: A
What uses a physical star topology ?,10 base 5,10 base 2,10 base T,None of these,Option: C
 The monitor station in what standard ensures that one and only one token is circulating ?,802.3,802.5,Both (a) and (b),All of these,Option: B
What can happen at a Token Ring station ,Examination of the destination address,Regeneration of the frame,Passing of the frame to the next station,All of these,Option: D
"In Token Ring, when a frame reaches its destination station, then",message is copied,four bits in the packet are changed,message is taken of the ring and replaced by the token,both (a) and (b),Option: D
Which of the following is not a transceiver function?,Transmission and receipt of data,Checking of line voltages,Addition and subtraction of headers,Collision detection,Option: C
 The station-to-hub distance in which of the following is 2000 meters ?,100 Base-TX,100 Base-FX,100 Base - T4,100 Base - T1,Option: B
Ether LAN uses,polar encoding,diferential manchester encoding,manchester encoding,NRZ,Option: C
Which of the given below  houses the switches in Token Ring ?,NIC,MAU,Nine-pin connector,Transceiver,Option: B
 Which of the following uses an 8B/6T encoding scheme?,100 Base-TX,100 Base-FX,100 Base-T4,100 Base-T1,Option: C
IBM's Token-Ring network uses,adaptive routing,source routing,alternative routing,spanned tree routing,Option: A
" In which circuit switching, delivery of data is delayed because data must be stored and retrieved from RAM ",space-division,time-division,virtual,packet,Option: B
"If a network designer wants to connect 5 routers as point-to-point simplex line, then total number of lines required would be",5,10,20,32,Option: B
" To interface a computer terminal with a modem, required physical layer standard is",RS 424 - A,RS 232 - C,RS 449,Either (b) or (c),Option: D
 A 100 km long cable runs at the T1 data rate. The propagation speed in the cable is half the speed of light. How many bits is in the cable ?,572,672,772,873,Option: C
How much bandwith is there in 0.1 micron of spectrum at a wavelength of 1 micron ?,"20,000 GHz","25,000 GHz","30,000 GHz",None of these,Option: C
"It is desired to send a sequence of computer screen images over an optical fiber. The screen is 480 x 640 pixels, each pixel being 24 bits. There are 60 screen images per second. How much bandwidth is needed, and how many microns of wavelenth are needed for this band at 1.30 microns?",1.0 x 105 microns,2 x 105 microns,2.5 x 105 microns,5 x 105 microns,Option: C
Establishing a virtual connection is virtually equivalent to,connecting as virtual memory,physically connecting a DTE and DCE,placing a telephone call prior to a conversion,placing a modem prior to a conversion,Option: C
How many digits of the network user Address are known as the DNIC (Data Network Identiication Code) ?,First three,First four,First five,First seven,Option: B
How many digits of the DNICC (Data Network Identiication Code) identify the country ?,First three,First four,First five,First six,Option: A
Which of the following digits are known as the area code of the network user address (NUA) ?,5-7,1-4,8-12,13-14,Option: A
Which of the following digits are known as the terminal number of the network user address,5-7,1-4,8-12,13-14,Option: C
 Four bits are used for packed sequence numbering in a sliding window protocol used in a computer network. What is the maximum window size ?,4,8,15,16,Option: C
 A station in a network forward incoming packets by placing them on its shortest output queue. What routing algorithm is being used ?,Hot potato routing,Floding,Static routing,Delta routing,Option: A
Which of the following program is used to copy files to or from another using time sharing system over a single link ?,VMTP,TFTP,UUCP,UART,Option: C
